parameters,performance
('Layers: [4, 32, 16, 3], Learning rate: 0.000244140625, Epochs: 2', 466.47938709699986)
('Layers: [4, 256, 256, 3], Learning rate: 0.0001220703125, Epochs: 5', 465.96060442458514)
('Layers: [4, 64, 16, 3], Learning rate: 0.0001220703125, Epochs: 5', 465.33779538260865)
('Layers: [4, 4, 8, 3], Learning rate: 0.0001220703125, Epochs: 3', 465.2893805674714)
('Layers: [4, 16, 4, 3], Learning rate: 0.0001220703125, Epochs: 5', 465.0755202634326)
('Layers: [4, 8, 512, 3], Learning rate: 0.000244140625, Epochs: 1', 464.10186793985605)
('Layers: [4, 128, 3], Learning rate: 0.0001220703125, Epochs: 1', 463.81469504900315)
('Layers: [4, 1024, 64, 3], Learning rate: 0.0009765625, Epochs: 1', 463.52478652281826)
('Layers: [4, 256, 3], Learning rate: 0.0001220703125, Epochs: 1', 463.2829238991052)
('Layers: [4, 64, 2, 3], Learning rate: 0.00048828125, Epochs: 2', 462.0594611727007)
('Layers: [4, 4, 64, 3], Learning rate: 0.0001220703125, Epochs: 7', 461.580964105175)
('Layers: [4, 16, 256, 3], Learning rate: 0.000244140625, Epochs: 2', 460.9010535207066)
('Layers: [4, 512, 32, 3], Learning rate: 0.000244140625, Epochs: 2', 460.7540394427879)
('Layers: [4, 128, 1024, 3], Learning rate: 0.0009765625, Epochs: 1', 460.5601274597068)
('Layers: [4, 4, 512, 3], Learning rate: 0.0001220703125, Epochs: 2', 459.62919099091874)
('Layers: [4, 32, 256, 3], Learning rate: 0.0001220703125, Epochs: 3', 459.0195289843538)
('Layers: [4, 256, 16, 3], Learning rate: 0.0001220703125, Epochs: 11', 458.95033975598585)
('Layers: [4, 512, 4, 3], Learning rate: 0.000244140625, Epochs: 2', 457.7697292789455)
('Layers: [4, 4, 8, 3], Learning rate: 0.0001220703125, Epochs: 1', 457.40679428510236)
('Layers: [4, 1024, 4, 3], Learning rate: 0.0001220703125, Epochs: 3', 457.37324691696045)
('Layers: [4, 32, 3], Learning rate: 0.000244140625, Epochs: 3', 457.25106762447285)
('Layers: [4, 32, 4, 3], Learning rate: 0.0001220703125, Epochs: 2', 456.7831879098329)
('Layers: [4, 4, 512, 3], Learning rate: 0.000244140625, Epochs: 4', 455.6001438412463)
('Layers: [4, 128, 3], Learning rate: 0.0001220703125, Epochs: 9', 455.49080938226797)
('Layers: [4, 4, 256, 3], Learning rate: 0.0001220703125, Epochs: 7', 455.3294259045276)
('Layers: [4, 32, 2, 3], Learning rate: 0.0001220703125, Epochs: 5', 455.2984900395281)
('Layers: [4, 16, 3, 3], Learning rate: 0.000244140625, Epochs: 3', 455.09760712754115)
('Layers: [4, 1024, 32, 3], Learning rate: 0.0001220703125, Epochs: 2', 455.0052387882075)
('Layers: [4, 4, 8, 3], Learning rate: 0.000244140625, Epochs: 1', 454.883525254294)
('Layers: [4, 16, 3, 3], Learning rate: 0.0001220703125, Epochs: 5', 454.6501212042748)
('Layers: [4, 256, 64, 3], Learning rate: 0.0001220703125, Epochs: 4', 454.4806957323581)
('Layers: [4, 512, 256, 3], Learning rate: 0.00048828125, Epochs: 2', 454.4410852222451)
('Layers: [4, 16, 64, 3], Learning rate: 0.0001220703125, Epochs: 3', 453.28215167778205)
('Layers: [4, 2, 8, 3], Learning rate: 0.0009765625, Epochs: 1', 452.9315194949482)
('Layers: [4, 256, 256, 3], Learning rate: 0.0001220703125, Epochs: 3', 452.8536007420813)
('Layers: [4, 32, 32, 3], Learning rate: 0.0001220703125, Epochs: 8', 452.83021473519614)
('Layers: [4, 2, 4, 3], Learning rate: 0.0001220703125, Epochs: 9', 452.78976631312895)
('Layers: [4, 8, 16, 3], Learning rate: 0.0001220703125, Epochs: 4', 452.57791661396107)
('Layers: [4, 512, 16, 3], Learning rate: 0.0001220703125, Epochs: 2', 452.1743057086828)
('Layers: [4, 2, 32, 3], Learning rate: 0.0001220703125, Epochs: 4', 451.9557957136241)
('Layers: [4, 1024, 64, 3], Learning rate: 0.000244140625, Epochs: 4', 451.8628621626502)
('Layers: [4, 2, 256, 3], Learning rate: 0.000244140625, Epochs: 3', 451.31799605852643)
('Layers: [4, 64, 256, 3], Learning rate: 0.000244140625, Epochs: 1', 451.1871469348202)
('Layers: [4, 32, 64, 3], Learning rate: 0.0001220703125, Epochs: 2', 450.3364573725517)
('Layers: [4, 8, 2, 3], Learning rate: 0.0001220703125, Epochs: 4', 450.1041552939612)
('Layers: [4, 32, 1024, 3], Learning rate: 0.0001220703125, Epochs: 7', 449.9062387238386)
('Layers: [4, 128, 128, 3], Learning rate: 0.000244140625, Epochs: 4', 449.157975752465)
('Layers: [4, 1024, 2, 3], Learning rate: 0.00048828125, Epochs: 2', 448.4812940487011)
('Layers: [4, 64, 3], Learning rate: 0.0001220703125, Epochs: 2', 447.80015588396185)
('Layers: [4, 32, 4, 3], Learning rate: 0.0001220703125, Epochs: 6', 447.75898998362527)
