parameters,performance
('Layers: [8, 512, 5], Learning rate: 0.000244140625, Epochs: 8', 269.9924975653258)
('Layers: [8, 8, 5], Learning rate: 0.00048828125, Epochs: 4', 269.74852108059974)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 13', 269.69601337810394)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 4', 269.5341772345344)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 15', 269.2529376684804)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 11', 268.5118956679303)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 14', 267.7311368310868)
('Layers: [8, 8, 5], Learning rate: 0.000244140625, Epochs: 9', 267.37759577014333)
('Layers: [8, 16, 5], Learning rate: 0.001953125, Epochs: 1', 266.7157358004942)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 20', 266.64267531529043)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 16', 266.3404790966365)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 17', 266.3040887769242)
('Layers: [8, 2, 5], Learning rate: 0.0001220703125, Epochs: 10', 265.95370264450884)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 17', 265.59466426745536)
('Layers: [8, 16, 5], Learning rate: 0.000244140625, Epochs: 3', 264.0531547265154)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 12', 262.81715612161815)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 14', 262.78642875924294)
('Layers: [8, 32, 5], Learning rate: 0.0009765625, Epochs: 2', 262.0119854871472)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 8', 261.7794316756678)
('Layers: [8, 128, 5], Learning rate: 0.00048828125, Epochs: 2', 258.9770578200084)
('Layers: [8, 256, 5], Learning rate: 0.000244140625, Epochs: 7', 258.9316487226181)
('Layers: [8, 2, 5], Learning rate: 0.00048828125, Epochs: 3', 257.7735297256038)
('Layers: [8, 32, 5], Learning rate: 0.000244140625, Epochs: 6', 257.7235865358594)
('Layers: [8, 8, 5], Learning rate: 0.000244140625, Epochs: 3', 257.46431541781203)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 3', 257.15854392769336)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 8', 256.275643307033)
('Layers: [8, 1024, 5], Learning rate: 0.00048828125, Epochs: 4', 254.47854209194753)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 18', 253.82718654819226)
('Layers: [8, 4, 5], Learning rate: 0.0001220703125, Epochs: 3', 253.49303362231507)
('Layers: [8, 64, 5], Learning rate: 0.0001220703125, Epochs: 19', 253.33753572756387)
('Layers: [8, 1024, 5], Learning rate: 0.0009765625, Epochs: 2', 252.83577319429202)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 8', 252.0268141881875)
('Layers: [8, 16, 5], Learning rate: 0.0009765625, Epochs: 1', 250.64828951187107)
('Layers: [8, 8, 5], Learning rate: 0.00048828125, Epochs: 6', 250.22910833590942)
('Layers: [8, 2, 5], Learning rate: 0.000244140625, Epochs: 1', 249.52692945325552)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 13', 248.97353551365904)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 2', 248.87714831419123)
('Layers: [8, 4, 5], Learning rate: 0.000244140625, Epochs: 11', 247.90566796526275)
('Layers: [8, 512, 5], Learning rate: 0.00048828125, Epochs: 3', 247.8888865141971)
('Layers: [8, 16, 5], Learning rate: 0.000244140625, Epochs: 4', 247.88047773402178)
('Layers: [8, 512, 5], Learning rate: 0.0001220703125, Epochs: 15', 247.67045206352105)
('Layers: [8, 2, 5], Learning rate: 0.0009765625, Epochs: 2', 247.02858468397756)
('Layers: [8, 512, 5], Learning rate: 0.00048828125, Epochs: 5', 246.5780355038684)
('Layers: [8, 64, 5], Learning rate: 0.000244140625, Epochs: 13', 246.25326685172584)
('Layers: [8, 8, 5], Learning rate: 0.000244140625, Epochs: 4', 246.17605312509446)
('Layers: [8, 32, 5], Learning rate: 0.0009765625, Epochs: 1', 245.98580538058695)
('Layers: [8, 2, 5], Learning rate: 0.000244140625, Epochs: 5', 245.45010484653955)
('Layers: [8, 128, 5], Learning rate: 0.000244140625, Epochs: 4', 245.26158810097309)
('Layers: [8, 16, 5], Learning rate: 0.00048828125, Epochs: 3', 244.1338356404508)
('Layers: [8, 4, 5], Learning rate: 0.000244140625, Epochs: 6', 244.07172351008847)
('Layers: [8, 4, 5], Learning rate: 0.00048828125, Epochs: 4', 243.7277663313625)
('Layers: [8, 1024, 5], Learning rate: 0.000244140625, Epochs: 7', 242.67314331991497)
('Layers: [8, 128, 5], Learning rate: 0.0001220703125, Epochs: 15', 242.19010710736163)
('Layers: [8, 256, 5], Learning rate: 0.0009765625, Epochs: 1', 241.70561910954436)
('Layers: [8, 8, 5], Learning rate: 0.001953125, Epochs: 1', 241.54668600352545)
('Layers: [8, 32, 5], Learning rate: 0.0001220703125, Epochs: 15', 240.91240162340043)
('Layers: [8, 16, 5], Learning rate: 0.000244140625, Epochs: 6', 239.6963293279291)
('Layers: [8, 256, 5], Learning rate: 0.0001220703125, Epochs: 9', 238.70762648861944)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 10', 238.52517547191985)
('Layers: [8, 32, 5], Learning rate: 0.00048828125, Epochs: 4', 237.4566413703022)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 6', 236.73089547258954)
('Layers: [8, 8, 5], Learning rate: 0.0001220703125, Epochs: 16', 236.38350357518027)
('Layers: [8, 2, 5], Learning rate: 0.000244140625, Epochs: 7', 236.37586485045549)
('Layers: [8, 2, 5], Learning rate: 0.000244140625, Epochs: 9', 236.09493886965504)
('Layers: [8, 512, 5], Learning rate: 0.000244140625, Epochs: 6', 235.94093629203826)
('Layers: [8, 16, 5], Learning rate: 0.0001220703125, Epochs: 18', 235.36390259067818)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 19', 233.6611071334893)
('Layers: [8, 1024, 5], Learning rate: 0.0001220703125, Epochs: 20', 233.385056844278)
('Layers: [8, 2, 5], Learning rate: 0.000244140625, Epochs: 3', 232.94093615004329)
